Compound_ID,SMILES,Sau_Mean_10uM,HepG2_Mean_10uM,HSkMC_Mean_10uM,IMR90_Mean_10uM,id
BRD-K20699089,C[C@H](O)C#Cc1cnc2c(c1)C(=O)N(C[C@H](C)[C@H](CN(C)Cc1cncnc1)O2)[C@H](C)CO,1.018238963,1.000264803,0.971827999,0.982158326,11186041
16beta-METHYL-16(17)-EPOXY-5-PREGNENOLONE,CC(=O)C12OC1(C)CC1C3CC=C4CC(O)CCC4(C)C3CCC12C,1.2508,1.210469944,0.996792793,0.90947047,11186448
BRD-K68986217,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(ccc2O[C@@H]1CN(C)Cc1ccc(cc1)Oc1ccccc1)NC(=O)NC1CCCCC1,0.98014515,0.879831862,1.014147739,0.76905558,11188304
BRD-K91225390,C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(c2O[C@@H]1CN(C)C(=O)Nc1ccccc1)NS(=O)(=O)c1c(noc1C)C,1.070808061,1.041351387,0.979830726,1.033017857,11194685
BRD-K36103497,COCCNC(=O)C[C@@H]1CC[C@H](NS(=O)(=O)c2ccc(cc2)C)[C@@H](CO)O1,1.029773842,1.006614267,1.046678583,0.958951493,11212161
BRD-K96941696,C[C@@H]1CCCCO[C@@H](CN(C)S(=O)(=O)c2ccc(cc2)Cl)[C@@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NS(=O)(=O)c1cccs1,0.946157973,0.93179035,1.021184924,1.014113999,11229466
BRD-K22815201,CS(=O)(=O)Nc1ccc2c(c1)[C@@H]1C[C@H](CC(=O)NCc3ccc(cc3)-c3ccccc3)O[C@@H](CO)[C@@H]1O2,1.015889778,0.956869661,0.988549479,1.021960854,11233163
BRD-K91720591,COCC(=O)N1C[C@@H](C)[C@H](CN(C)C(=O)c2cc(ccc2OC[C@H]1C)NC(=O)Nc1cccc(c1)F)OC,0.942509058,1.022215137,1.020760204,0.966374756,11235591
BRD-K78519456,CCn1nnc2c(ncnc12)SCC(=O)N,0.952417034,0.982640998,0.984588549,1.011156571,11256598
BRD-K56939159,COc1ccc(cc1)C#Cc1ccc2c(c1)O[C@H](CN(C)C(=O)c1ccccn1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,1.045531184,1.029091433,1.024110172,0.939233693,11284736
